gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,is_new_customer,is_loyal_customer,tenure_group,avg_monthly_charge,high_monthly_charge,total_services,has_protection,has_support,is_monthly_contract,automatic_payment,risky_payment,family_size,senior_with_family,tenure_contract_interaction,charges_per_service
Male,0,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.15,130.5,1,0,0-1yr,21.75,0,1,0,0,1,1,0,0,0,0,20.15
Male,1,Yes,No,27,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Electronic check,85.9,2220.1,0,0,2-4yr,82.22592592592592,1,4,1,1,0,0,1,1,1,27,21.475
Male,0,No,No,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.3,1474.35,0,1,4+yr,25.419827586206896,0,2,0,0,0,1,0,0,0,116,12.65
Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),104.9,7732.65,0,1,4+yr,107.39791666666666,1,7,1,1,0,1,0,2,0,144,14.985714285714286
Female,0,No,No,28,No,No phone service,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,35.75,961.4,0,0,2-4yr,34.33571428571428,0,2,0,1,1,0,0,0,0,0,17.875
Male,0,Yes,Yes,40,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,85.05,3355.65,0,0,2-4yr,83.89125,1,3,0,1,0,0,1,2,0,40,28.349999999999998
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.5,20.5,1,0,0-1yr,20.5,0,1,0,0,1,0,0,0,0,0,20.5
Female,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.0,412.5,1,0,0-1yr,82.5,1,2,0,0,1,0,1,0,0,0,40.0
Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.2,69.2,1,0,0-1yr,69.2,0,1,0,0,1,0,1,0,0,0,69.2
Female,0,No,Yes,12,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.3,1275.65,1,0,0-1yr,106.30416666666667,1,6,1,1,1,0,1,1,0,0,17.55
Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,96.1,453.4,1,0,0-1yr,90.67999999999999,1,4,0,1,1,0,1,0,0,0,24.025
Male,0,Yes,No,71,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),86.1,6045.9,0,1,4+yr,85.15352112676055,1,7,1,1,0,1,0,1,0,142,12.299999999999999
Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.95,228.4,1,0,0-1yr,76.13333333333334,1,2,0,0,1,0,1,0,0,0,38.475
Female,0,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.65,655.85,0,0,2-4yr,21.861666666666668,0,1,0,0,1,1,0,1,0,0,19.65
Female,0,Yes,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.2,507.9,0,0,2-4yr,20.316,0,1,0,0,0,1,0,1,0,25,20.2
Male,0,Yes,Yes,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.55,1331.05,0,1,4+yr,25.597115384615385,0,2,0,0,0,0,0,2,0,104,12.275
Female,1,No,No,46,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,110.0,4874.8,0,0,2-4yr,105.97391304347826,1,7,1,1,0,0,1,0,0,46,15.714285714285714
Male,0,No,No,9,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.5,597.9,1,0,0-1yr,66.43333333333334,1,1,0,0,1,0,1,0,0,0,70.5
Female,0,Yes,No,19,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,86.85,1564.4,0,0,1-2yr,82.33684210526316,1,3,0,0,1,0,1,1,0,0,28.95
Female,0,No,No,12,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,49.4,611.65,1,0,0-1yr,50.97083333333333,0,2,1,0,1,0,1,0,0,0,24.7
Male,1,Yes,No,45,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),98.7,4525.8,0,0,2-4yr,100.57333333333334,1,6,1,1,0,1,0,1,1,45,16.45
Female,0,Yes,Yes,36,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),104.5,3684.95,0,0,2-4yr,102.35972222222222,1,6,1,1,1,1,0,2,0,0,17.416666666666668
Male,0,No,No,38,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),95.1,3691.2,0,0,2-4yr,97.13684210526316,1,5,1,1,1,1,0,0,0,0,19.02
Male,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.2,19.2,1,0,0-1yr,19.2,0,1,0,0,1,0,0,2,0,0,19.2
Male,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,1037.75,1,0,0-1yr,103.775,1,5,0,1,1,0,1,1,0,0,19.7
Male,0,Yes,Yes,13,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),44.8,559.2,0,0,1-2yr,43.01538461538462,0,1,0,0,1,1,0,2,0,0,44.8
Male,0,No,No,18,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),82.0,1425.45,0,0,1-2yr,79.19166666666666,1,6,0,1,0,1,0,0,0,18,13.666666666666666
Female,0,Yes,No,37,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Electronic check,45.4,1593.1,0,0,2-4yr,43.056756756756755,0,3,1,1,0,0,1,1,0,74,15.133333333333333
Male,0,No,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.35,122.0,1,0,0-1yr,24.4,0,1,0,0,1,1,0,1,0,0,20.35
Male,0,No,No,11,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,74.95,815.5,1,0,0-1yr,74.13636363636364,1,2,1,0,1,0,1,0,0,0,37.475
Male,0,No,Yes,64,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.15,6171.2,0,1,4+yr,96.425,1,5,1,1,1,1,0,1,0,0,19.830000000000002
Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,55.55,55.55,1,0,0-1yr,55.55,0,2,0,0,1,0,0,0,0,0,27.775
Male,1,Yes,No,37,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.5,3473.4,0,0,2-4yr,93.87567567567568,1,4,0,0,1,0,1,1,1,0,23.125
Female,0,Yes,Yes,48,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),105.25,4997.5,0,0,2-4yr,104.11458333333333,1,6,1,0,1,1,0,2,0,0,17.541666666666668
Male,1,Yes,No,20,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.55,1899.65,0,0,1-2yr,94.9825,1,4,0,0,1,0,1,1,1,0,23.6375
Female,0,No,No,26,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),69.5,1800.05,0,0,2-4yr,69.2326923076923,0,5,1,0,1,1,0,0,0,0,13.9
Female,0,No,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,578.5,0,0,2-4yr,19.283333333333335,0,1,0,0,0,1,0,0,0,60,19.4
Female,0,No,No,69,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Mailed check,66.9,4577.9,0,1,4+yr,66.3463768115942,0,5,1,1,0,0,0,0,0,138,13.38
Male,0,Yes,Yes,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),89.4,5597.65,0,1,4+yr,88.8515873015873,1,8,1,1,0,1,0,2,0,126,11.175
Male,0,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.35,126.05,1,0,0-1yr,25.21,0,1,0,0,1,0,0,1,0,0,19.35
Male,0,Yes,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.45,790.0,0,0,2-4yr,20.256410256410255,0,1,0,0,0,1,0,1,0,78,20.45
Male,0,No,Yes,4,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.7,364.55,1,0,0-1yr,91.1375,1,5,1,0,1,0,1,1,0,0,20.34
Male,0,Yes,No,60,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),101.15,6067.4,0,1,4+yr,101.12333333333332,1,5,0,1,0,1,0,1,0,120,20.23
Male,0,Yes,Yes,19,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,103.3,2012.7,0,0,1-2yr,105.93157894736842,1,6,0,1,1,0,1,2,0,0,17.216666666666665
Female,0,Yes,No,11,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.0,1145.35,1,0,0-1yr,104.12272727272726,1,5,1,0,1,0,1,1,0,0,20.4
Female,1,No,No,31,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.95,3186.65,0,0,2-4yr,102.79516129032258,1,5,1,0,1,0,1,0,0,0,19.990000000000002
Male,0,No,No,30,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),84.3,2438.6,0,0,2-4yr,81.28666666666666,1,4,1,1,1,1,0,0,0,0,21.075
Male,0,No,No,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.6,1279.0,0,1,4+yr,24.132075471698112,0,2,0,0,0,0,0,0,0,106,12.3
Female,0,No,No,5,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,89.35,461.7,1,0,0-1yr,92.34,1,4,1,1,1,0,1,0,0,0,22.3375
Male,1,No,No,51,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),79.6,3974.7,0,1,4+yr,77.93529411764706,1,3,1,0,0,1,0,0,0,51,26.53333333333333
Female,0,Yes,No,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),89.3,6388.65,0,1,4+yr,89.98098591549295,1,8,1,1,0,1,0,1,0,142,11.1625
Female,0,No,Yes,61,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.0,1498.35,0,1,4+yr,24.563114754098358,0,2,0,0,0,1,0,1,0,122,12.5
Male,1,No,No,8,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,606.55,1,0,0-1yr,75.81875,1,2,1,0,1,0,1,0,0,0,37.25
Male,0,Yes,No,10,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),54.95,568.85,1,0,0-1yr,56.885000000000005,0,3,1,1,1,1,0,1,0,0,18.316666666666666
Female,0,Yes,No,12,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),49.85,617.15,1,0,0-1yr,51.42916666666667,0,3,0,1,1,1,0,1,0,0,16.616666666666667
Male,0,Yes,No,66,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,63.85,4264.6,0,1,4+yr,64.61515151515152,0,4,0,1,1,0,1,1,0,0,15.9625
Male,0,No,No,24,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),60.45,1440.75,0,0,1-2yr,60.03125,0,4,1,1,1,1,0,0,0,0,15.1125
Female,0,Yes,Yes,4,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,56.5,235.1,1,0,0-1yr,58.775,0,3,1,1,1,0,0,2,0,0,18.833333333333332
Female,0,No,No,4,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,88.95,355.2,1,0,0-1yr,88.8,1,4,1,0,1,0,1,0,0,0,22.2375
Female,0,No,Yes,35,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Credit card (automatic),55.6,2016.45,0,0,2-4yr,57.612857142857145,0,3,1,0,0,1,0,1,0,35,18.533333333333335
Female,1,No,No,45,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),85.7,3778.1,0,0,2-4yr,83.95777777777778,1,4,1,1,1,1,0,0,0,0,21.425
Male,0,No,No,65,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),110.0,7138.65,0,1,4+yr,109.8253846153846,1,7,1,1,0,1,0,0,0,65,15.714285714285714
Female,0,Yes,Yes,14,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.9,1152.8,0,0,1-2yr,82.34285714285714,1,2,0,0,1,1,0,2,0,0,40.45
Female,0,Yes,Yes,61,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),50.7,3088.75,0,1,4+yr,50.635245901639344,0,4,1,1,0,1,0,2,0,61,12.675
Male,0,Yes,Yes,68,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Credit card (automatic),80.35,5375.15,0,1,4+yr,79.04632352941177,1,3,1,1,0,1,0,2,0,136,26.78333333333333
Female,0,Yes,Yes,23,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Mailed check,57.75,1282.85,0,0,1-2yr,55.77608695652174,0,4,1,1,0,0,0,2,0,23,14.4375
Female,0,No,No,55,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,81.55,4509.5,0,1,4+yr,81.99090909090908,1,3,1,1,1,0,1,0,0,0,27.183333333333334
Male,0,Yes,Yes,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.45,1718.2,0,1,4+yr,24.90144927536232,0,2,0,0,0,1,0,2,0,138,12.225
Female,0,Yes,No,7,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),81.25,580.1,1,0,0-1yr,82.87142857142858,1,6,1,1,1,1,0,1,0,0,13.541666666666666
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),79.05,5730.7,0,1,4+yr,79.59305555555555,1,3,1,0,0,1,0,2,0,144,26.349999999999998
Female,0,Yes,Yes,61,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),49.7,2961.4,0,1,4+yr,48.54754098360656,0,2,1,0,0,1,0,2,0,61,24.85
Male,1,Yes,No,64,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Credit card (automatic),80.3,5017.7,0,1,4+yr,78.4015625,1,3,1,1,0,1,0,1,1,64,26.766666666666666
Female,1,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.2,2931.0,0,0,2-4yr,91.59375,1,4,0,0,1,0,1,1,1,0,23.3
Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.55,79.55,1,0,0-1yr,79.55,1,3,0,1,1,0,0,0,0,0,26.516666666666666
Male,0,No,No,3,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,82.3,214.4,1,0,0-1yr,71.46666666666667,1,3,1,1,1,0,0,0,0,0,27.433333333333334
Male,0,No,Yes,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,50.6,1,0,0-1yr,16.866666666666667,0,1,0,0,1,1,0,1,0,0,20.2
Female,0,Yes,No,72,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),84.4,6096.45,0,1,4+yr,84.67291666666667,1,7,1,1,0,1,0,1,0,144,12.057142857142859
Female,0,No,Yes,26,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,29.8,786.5,0,0,2-4yr,30.25,0,1,0,1,1,0,0,1,0,0,29.8
Male,0,No,No,39,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,100.45,3801.7,0,0,2-4yr,97.47948717948718,1,5,1,1,0,0,1,0,0,78,20.09
Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.55,19.55,1,0,0-1yr,19.55,0,1,0,0,1,0,0,0,0,0,19.55
Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.5,19.5,1,0,0-1yr,19.5,0,1,0,0,1,0,0,0,0,0,19.5
Female,0,Yes,Yes,56,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),88.9,4968.0,0,1,4+yr,88.71428571428571,1,3,0,0,0,1,0,2,0,56,29.633333333333336
Female,1,Yes,No,43,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,107.55,4533.9,0,0,2-4yr,105.43953488372092,1,6,0,1,0,0,1,1,1,43,17.925
Female,0,No,Yes,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,25.4,25.4,1,0,0-1yr,25.4,0,2,0,0,1,0,0,1,0,0,12.7
Male,0,No,No,29,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),70.9,1964.6,0,0,2-4yr,67.7448275862069,1,5,1,1,0,1,0,0,0,29,14.180000000000001
Male,0,No,No,2,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,82.0,184.65,1,0,0-1yr,92.325,1,3,1,0,1,0,1,0,0,0,27.333333333333332
Male,0,No,No,68,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Credit card (automatic),79.6,5461.45,0,1,4+yr,80.31544117647059,1,3,1,1,0,1,0,0,0,68,26.53333333333333
Male,0,Yes,Yes,67,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),89.55,6373.1,0,1,4+yr,95.12089552238807,1,4,1,0,1,1,0,2,0,0,22.3875
Female,0,Yes,Yes,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.9,467.7,0,0,1-2yr,24.61578947368421,0,2,0,0,0,1,0,2,0,38,12.45
Male,0,Yes,Yes,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),56.75,3708.4,0,1,4+yr,56.18787878787879,0,4,1,1,0,1,0,2,0,132,14.1875
Female,0,Yes,No,4,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,29.05,129.6,1,0,0-1yr,32.4,0,1,1,0,1,0,1,1,0,0,29.05
Female,0,Yes,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.75,210.65,1,0,0-1yr,23.405555555555555,0,1,0,0,0,0,0,2,0,18,19.75
Male,1,Yes,No,53,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.85,5485.5,0,1,4+yr,103.5,1,6,1,1,1,0,1,1,1,0,17.308333333333334
Female,0,No,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.5,470.2,0,0,1-2yr,20.443478260869565,0,1,0,0,1,0,0,0,0,0,19.5
Female,0,Yes,No,50,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,108.55,5610.7,0,1,4+yr,112.214,1,7,1,1,0,0,1,1,0,50,15.507142857142856
Male,0,No,No,2,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,74.95,151.75,1,0,0-1yr,75.875,1,2,1,0,1,0,1,0,0,0,37.475
Female,0,Yes,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.35,1267.0,0,1,4+yr,21.47457627118644,0,1,0,0,0,0,0,1,0,59,20.35
Male,0,Yes,Yes,63,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),83.5,5435.0,0,1,4+yr,86.26984126984127,1,7,1,1,0,1,0,2,0,126,11.928571428571429
Female,0,Yes,No,25,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,71.05,1837.7,0,0,2-4yr,73.508,1,5,1,1,1,0,0,1,0,0,14.209999999999999
Female,0,No,No,14,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,80.45,1072.0,0,0,1-2yr,76.57142857142857,1,3,0,1,1,0,1,0,0,0,26.816666666666666
Male,0,Yes,No,65,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,One year,No,Credit card (automatic),67.05,4309.55,0,1,4+yr,66.30076923076923,0,5,1,1,0,1,0,1,0,65,13.41
Male,1,Yes,No,69,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,Two year,No,Credit card (automatic),56.55,3952.65,0,1,4+yr,57.28478260869565,0,4,1,0,0,1,0,1,1,138,14.1375
